$
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   100   126   138    46    -5     1    12    17 -9999
    90   120   134    48    -6     1    13    17 -9999
    80   129   133    49    -6     1    13    16 -9999
    70   353   130    52    -4     1    15    15 -9999
    60   578   133    55    -3     1    16    14 -9999
    50   803   133    59    -2     1    17    13 -9999
    40  1027   133    62    -1     1    18    12 -9999
    30  1252   137    65     1     1    19    11 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   42.8   999.1   24.8   85.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19749    12     7  2023     0    40    45    25   106     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     5     1     1     0  5303  5103  5701    18  1710  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     7     7     7     7   137   135   139     0    53 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200    65   259    48    -4     1    18     9 -9999
   190    69   249    50    -4     1    18    10 -9999
   180    74   241    52    -4     1    18    10 -9999
   170    86   234    55    -4     1    18     8 -9999
   160    98   220    59    -4     1    18     7 -9999
   150   111   209    65    -4     1    18     6 -9999
   140   123   197    72    -3     1    19     4 -9999
   130   133   190    80    -3     1    19     3 -9999
   120   130   187    88    -3     1    19     6 -9999
   110   126   185    90    -2     1    19     9 -9999
   100   122   185    92    -2     1    19    12 -9999
    90   118   183    95    -2     1    19    15 -9999
    80   128   184    97    -1     1    19    17 -9999
    70   365   183    99    -1     1    19    16 -9999
    60   603   181   103     0     1    19    15 -9999
    50   841   181   105     1     1    19    14 -9999
    40  1079   180   109     1     1    19    13 -9999
    30  1316   181   112     2     1    19    12 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   42.6   999.2   24.7   85.8                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19748    12     7  2023     0    50    37    13   127     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     5     2     0     0  5403  5704  5902    18  1710  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     7     7     7     7   134   134   138     0    52 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   130 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   120 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   110 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   100 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
    90 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
    80 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
    70 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
    60 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
    50 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
    40 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
    30 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
    8.9636   77.7201   -0.5    1.0    0.0   44.2   999.3   24.7   86.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
 19747    12     7  2023     1     0    31    28   140     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
     5     2     0     0  5803  5204  5601    18  1710  9065

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
     7     7     7     7   133   134   137     0    54 11100

   ALT    CT SPEED   DIR     W    SW    SU    SV  ETAM

   200 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
